CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,0.008274600700520876,0.34545454545454507,0.03512683308955041,0.0,0.08142754261022646,0.0,0.166667,0.0,0.083333,0.0,0.0,0.04878048780487805,0.06884057971014493,0.048302028156596656,0.08131297239536471,0.0,12
C10002,0.6478888473125243,0.6727272727272725,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45000045000044997,0.4,0.0,0.5036231884057971,0.9820750712749226,0.6250858284415617,0.6222222222222222,12
C10003,0.5047917465132256,1.0,0.28468567651831955,0.5356171145036847,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2926829268292683,0.5398550724637681,0.14889383048871957,0.36565061440167634,0.0,12
C10004,0.33718290181851457,0.0,0.5519404905789943,1.0,0.0,0.07390343377342215,0.083333,0.11111066666666668,0.0,0.14999954999955,0.1,0.024390243902439025,0.5398550724637681,0.0,0.18206282122431575,0.0,12
C10005,0.16543119073973345,1.0,0.005891292761350173,0.011084074436487389,0.0,0.0,0.083333,0.11111066666666668,0.0,0.0,0.0,0.024390243902439025,0.08333333333333333,0.16236177631359008,0.14268446384122682,0.0,12
C10006,0.36614513467338755,1.0,0.4909214258033099,0.0,1.0,0.0,0.666667,0.0,0.583333,0.0,0.0,0.1951219512195122,0.12681159420289856,0.3351086791918458,1.0,0.0,12
C10007,0.1269006761890079,1.0,1.0,1.0,0.5875586140673762,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9746376811594203,1.0,0.11544695915042448,1.0,12
C10008,0.36894185641281574,1.0,0.1606113689063091,0.0,0.3723133552052493,0.0,1.0,0.0,1.0,0.0,0.0,0.2926829268292683,0.16304347826086957,0.16253658069718255,0.310126270148277,0.0,12
C10009,0.20532903454807103,1.0,0.3172056125609725,0.4582502749370027,0.17070763649942652,0.0,0.333333,0.11111066666666668,0.25,0.0,0.0,0.12195121951219512,0.5036231884057971,0.16474186050089562,0.18184099501835235,0.0,12
C10010,0.03079672598104434,0.0,0.47189255018414883,0.8878343623626398,0.0,0.0,0.166667,0.22222266666666668,0.0,0.0,0.0,0.07317073170731707,0.7934782608695652,0.27879187750339446,0.05845781334169547,0.0,12
C10011,0.26161116330926887,1.0,0.3387935184733451,0.0,0.7853575524792616,0.0,1.0,0.0,1.0,0.0,0.0,0.2926829268292683,0.08333333333333333,0.2592918502376988,1.0,0.0,12
C10012,0.12761562460842188,0.34545454545454507,0.5494293270394689,1.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.14634146341463414,0.14130434782608695,0.16889226371504207,0.09066271689509159,0.0,12
C10013,0.30688872278823465,1.0,1.0,1.0,0.6126355658691419,0.0,1.0,0.3333333333333333,0.916667,0.0,0.0,0.6341463414634146,0.213768115942029,0.1455900219182739,0.2857441595185149,0.7000007000006999,12
C10014,0.18646711327444995,1.0,0.7871982208295859,0.2909292437717027,1.0,0.0,0.75,0.22222266666666668,0.75,0.0,0.0,0.6341463414634146,0.5398550724637681,0.39634335350886285,0.14638416072004581,0.23333263333263332,12
C10015,0.5609576295813454,1.0,0.0,0.0,0.0,0.12454832388386096,0.0,0.0,0.0,0.14999954999955,0.1,0.0,0.213768115942029,0.19283463457420513,0.5770657746502311,0.0,12
C10016,1.0,1.0,0.5934372839667547,0.0,1.0,0.8265209505898681,0.5,0.0,0.5,0.3000009000009,0.4,0.2682926829268293,0.5760869565217391,0.47713659927377,1.0,0.0,12
C10017,0.419199851355772,0.5499995499995498,0.0,0.0,0.0,0.9999001113858594,0.0,0.0,0.0,0.45000045000044997,0.3,0.0,0.213768115942029,0.09382046981434364,0.21950759170501394,0.0,8
C10018,0.008312784552269319,0.0,0.19109880894629624,0.0,0.44298631671601185,0.0,0.416667,0.0,0.333333,0.0,0.0,0.1951219512195122,0.17753623188405798,0.060937157241302733,0.042661027080463626,0.7000007000006999,12
C10019,0.40240775177969035,1.0,0.185704594011685,0.11499727227855666,0.28879464404790484,0.0,0.666667,0.11111066666666668,0.583333,0.0,0.0,0.21951219512195122,0.9384057971014492,0.411888388841266,0.4340447300053929,0.0,12
C10020,0.7238566899751673,1.0,0.14678155914903956,0.0,0.34025446107065693,0.0,1.0,0.0,1.0,0.0,0.0,0.2926829268292683,0.286231884057971,0.2522738766594244,1.0,0.0,12
C10021,0.4079940080193965,1.0,0.06505460031720929,0.0,0.1508031260835934,0.0,0.666667,0.0,0.666667,0.0,0.0,0.1951219512195122,0.14130434782608695,0.05339224246094801,1.0,0.0,12
C10022,1.0,1.0,1.0,1.0,0.38401536368728495,0.08224955944155195,1.0,1.0,1.0,0.6,0.6,1.0,0.8115942028985508,0.4973667000864909,0.9675179792406648,0.0,12
C10023,0.026774062054768285,0.0,0.3004191102491004,0.0,0.6964018030994105,0.0,1.0,0.0,1.0,0.0,0.0,0.4146341463414634,0.12681159420289856,0.5647856078159479,0.050312732422905605,0.0,12
C10024,0.7688058535605197,0.34545454545454507,1.0,1.0,0.6775300738843989,1.0,1.0,0.11111066666666668,0.916667,0.6,1.0,0.3170731707317073,0.6485507246376812,1.0,0.8309096780472904,0.0,12
C10025,1.0,1.0,0.0,0.0,0.0,0.28692214031347224,0.0,0.0,0.0,0.6545454545454545,0.4,0.0,0.4311594202898551,0.3405345678226794,0.9659019877640729,0.0,11
C10026,0.03434840765358626,1.0,0.14713503671472059,0.0,0.34107385772585425,0.0,1.0,0.0,1.0,0.0,0.0,0.2926829268292683,0.213768115942029,0.05153427123761614,0.09500929932444505,0.0,12
C10027,0.326925153769746,1.0,0.03755699135360735,0.0706609745326071,0.0,0.08792811569903053,0.166667,0.22222266666666668,0.0,0.45000045000044997,0.5,0.04878048780487805,0.11956521739130435,0.21306739149233309,0.5661185891875335,0.0,12
C10028,0.02542922675572624,1.0,0.08589504846048553,0.0,0.1991133872129311,0.0,1.0,0.0,1.0,0.0,0.0,0.2926829268292683,0.06884057971014493,0.049731358731313645,0.09602550757121801,0.0,12
C10029,1.0,1.0,0.14251405395503652,0.14170296412396846,0.1557707183057267,0.8030536251110211,0.666667,0.22222266666666668,0.416667,1.0,1.0,0.1951219512195122,0.7572463768115942,0.38331221172190255,0.9611502325744486,0.0,12
C10030,0.004463648570590611,1.0,0.03682057975843858,0.0,0.08535381824971326,0.0,0.416667,0.0,0.416667,0.0,0.0,0.12195121951219512,0.4963768115942029,0.03848032361310669,0.09307334107147736,0.0,12
C10031,1.0,1.0,1.0,0.701899013690564,1.0,1.0,1.0,0.22222266666666668,1.0,0.9000009000008999,1.0,1.0,0.9384057971014492,1.0,1.0,0.0,12
C10032,0.23513866851111032,1.0,0.4962346354624526,0.27710186091218475,0.8089066709343576,0.06313967253966354,1.0,0.11111066666666668,1.0,0.3000009000009,0.2,1.0,0.4311594202898551,0.15462193159220072,0.14971326470279656,0.0,12
C10033,1.0,1.0,0.11964847392504617,0.22511062425853606,0.0,0.4271902233067623,0.083333,0.11111066666666668,0.0,0.3000009000009,0.3,0.07317073170731707,0.7572463768115942,0.411716414094343,1.0,0.0,12
C10034,0.02542227459994854,1.0,0.23446976984376103,0.44113923502567526,0.0,0.0,0.916667,1.0,0.0,0.0,0.0,0.2682926829268293,0.08333333333333333,0.10135415221526797,0.11441866914060866,0.8400008400008399,12
C10035,0.7115422628460105,0.018181818181817636,0.20151166890198266,0.0,0.4671243765170307,0.0,1.0,0.0,1.0,0.0,0.0,0.34146341463414637,0.7934782608695652,1.0,1.0,0.0,12
C10036,0.33509511849699625,1.0,0.0,0.0,0.0,0.03564822519595576,0.0,0.0,0.0,0.14999954999955,0.1,0.0,0.12681159420289856,0.08413279076517033,0.36989696646420184,0.0,12
C10037,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6485507246376812,0.39166882005973525,1.0,0.0,11
C10038,0.8188428944104084,1.0,0.8765323114395097,1.0,0.6302355231922327,0.6096709215424418,0.75,0.6666666666666666,0.75,0.6,0.7,1.0,0.358695652173913,0.38724863533139975,0.8983632232100637,0.0,12
C10039,1.0,1.0,0.0751139827072147,0.1413219490652142,0.0,1.0,0.083333,0.11111066666666668,0.0,0.6,1.0,0.04878048780487805,0.6485507246376812,0.29610696330805014,1.0,0.0,12
C10040,0.28558021764380964,0.0,0.3546705524651838,0.6672889912626321,0.0,1.0,0.083333,0.11111066666666668,0.0,0.6,0.6,0.14634146341463414,0.5398550724637681,1.0,0.41966715800831045,0.9333333333333332,12
C10041,0.1342216425763998,0.018181818181817636,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45000045000044997,0.3,0.0,0.12681159420289856,0.734110920591733,0.16515179107291522,0.46666806666806665,12
